Class 1,Term 1,Similarity,Class 2,Term 2,Comment,Reasoning,Factors
1,Fertilizers,1,5,Fungicides,,"['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
1,Fertilizers,1,5,Pesticides,"Manures in Class 1 on the one hand and pesticides, fungicides and herbicides in Class 5 on the other hand are not only chemical products but also finished products with a specific use in the agricultural industry. They therefore have a similar purpose since the specific goods in Class 5 can be considered growth-enhancing by preventing conditions that could inhibit plant growth. As such they are similar to a low degree.","['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
1,Fertilizers,1,5,Insecticides,,"['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
1,Fertilizers,1,5,Herbicides,,"['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
12,Bicycle kickstands,1,12,Apparatus for locomotion by land,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[4, 6, 7, 8]"
2,Colorants,1,2,Thinners for paints,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
2,Colorants,1,2,Canada balsam,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
2,Colorants,1,2,Turpentine [thinner for paints],,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
2,Colorants,1,2,Thinners for lacquers,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
39,Vehicle rental,1,39,Booking of airport parking,"The services are generally related to facilitating transportation and even though the provider is usually not the same, they coincide in their distribution channels and relevant public (for example, vehicle rental and booking of airport parking are services provided via airport websites)","['6. Distribution channels', '7. Relevant public']","[6, 7]"
39,Vehicle rental,1,39,Storage,"Storage includes parking place rental. Therefore, vehicle rental and storage can both be related to facilitating transportation and even though the provider is usually not the same, they coincide in their distribution channels and relevant public (for example, vehicle rental and parking place rental are services provided via airport websites).","['6. Distribution channels', '7. Relevant public']","[6, 7]"
20,Stools,1,20,Picture frames,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
20,Stools,1,20,Mirrors (silvered glass),,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
14,Jewellery,1,14,Leather key chains,"These items are decorative, and so can have the same purpose, but the basic nature of the goods is not the same.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
14,Jewellery,1,14,Metal key chains,"These items are decorative, and so can have the same purpose, but the basic nature of the goods is not the same.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
14,Jewellery,1,14,Split rings of precious metal for keys,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
14,Jewellery,1,14,Key fobs of precious metals,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
14,Jewellery,1,14,Key fobs [rings] coated with precious metal,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
14,Jewellery,1,14,Key charms coated with precious metals,"These items are decorative, and so can have the same purpose, but the basic nature of the goods is not the same.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
3,Hair dyes,1,3,Toilet soap,,"['6. Distribution channels', '7. Relevant public']","[6, 7]"
3,Hair dyes,1,3,Perfumes,,"['6. Distribution channels', '7. Relevant public']","[6, 7]"
43,Temporary accommodation,1,36,Rental of apartments,"Temporary accommodation in Class 43 includes the services rendered to satisfy  consumers’ needs for short- and middle-term accommodation, for example an accommodation bureau offering holiday homes for a week or for the entire summer. It is increasingly common for such undertakings to also offer services related to the management of properties in Class 36, including rental services for real estate such as houses, flats, etc., for permanent use. Furthermore, these services are marketed through the same channels of distribution, including physical agencies and dedicated websites online. Likewise, it is nowadays common for real estate agencies to offer properties such as houses or flats not only for sale or long term rental, but also for seasonal or short-term rental. Consequently, the services of temporary accommodation and real estate affairs can share at least the same providers, channels of distribution and target the same consumers. They are similar to a low degree. (T-713/13,§33, T-213/09, §49-50).","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
43,Temporary accommodation,1,44,Beauty care for human beings,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
13,Belts adapted for ammunition,1,13,Guns [weapons],,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
2,Binding preparations for paints,1,2,Colorants,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
2,Binding preparations for paints,1,2,Raw natural resins,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
2,Binding preparations for paints,1,2,Mordants,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
2,Thickeners for paints,1,2,Colorants,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
2,Thickeners for paints,1,2,Raw natural resins,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
2,Thickeners for paints,1,2,Mordants,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
3,Dentifrices,1,5,Pharmaceutical preparations,"Pharmaceutical preparations include medicines such as creams and ointments for the teeth, gums and mouth. Dentifrices in Class 3, being non-medicated toiletries, are used to clean and free the teeth, gums and mouth from plaque and bacteria. These goods can originate from the same producers that deal in preparations for dental care, hygiene of the oral cavity etc. Consumers look for them in the same distribution channels, such as pharmacies.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
3,Dentifrices,1,3,Shampoos,,"['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
3,Dentifrices,1,5,Veterinary preparations,"Veterinary preparations include medicines such as creams and ointments for the teeth, gums and oral cavity. Dentifrices in Class 3, include non-medicated toiletries for animals and they are used to clean and free the teeth, gums and mouth from plaque and bacteria. These goods share the same intended purpose – improvement of the dental health of animals. Consumers (such as pet owners) look for them in the same distribution channels, such as veterinary clinics and veterinary pharmacies.","['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
13,Cartridge cases,1,13,Guns [weapons],,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
12,Security harness for vehicle seats,1,12,Apparatus for locomotion by land,,"['4. Complementary goods / services', '6. Distribution channels']","[4, 6]"
12,Security harness for vehicle seats,1,12,Apparatus for locomotion by air,,"['4. Complementary goods / services', '6. Distribution channels']","[4, 6]"
12,Security harness for vehicle seats,1,12,Apparatus for locomotion by water,,"['4. Complementary goods / services', '6. Distribution channels']","[4, 6]"
12,Security harness for vehicle seats,1,12,Vehicles,,"['4. Complementary goods / services', '6. Distribution channels']","[4, 6]"
18,Baby carriers worn on the body,1,25,Footwear,"The broad category of footwear includes footwear for newborns and babies. It is not unusual that the manufacturers of these goods also offer baby carriers such as pouches, slings and harnesses. These goods satisfy the needs of the same relevant consumer, and they are sold in the same specialised shops and sections of department stores.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
18,Baby carriers worn on the body,1,25,Headgear,"The broad category of headgear includes headgear for newborns and babies. It is not unusual that the manufacturers of these goods also offer baby carriers such as pouches, slings and harnesses. These goods satisfy the needs of the same relevant consumer, and they are sold in the same specialised shops and sections of department stores.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
18,Baby carriers worn on the body,1,25,Clothing,"The broad category of clothing includes pregnancy clothing, maternity clothing and infant clothing. It is not unusual that the manufacturers of these goods also offer baby carriers such as pouches, slings and harnesses. These goods satisfy the needs of the same relevant consumer, and they are sold in the same specialised shops and sections of department stores.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
3,Perfumes,1,3,Hair lotions,,"['6. Distribution channels', '7. Relevant public']","[6, 7]"
3,Perfumes,1,11,Air deodorizing apparatus,"The broad category of perfumes in Class 3 encompasses air fragrancing preparations, such as room scenting sprays and perfumes. Air deodorising and purifying apparatus in Class 11 include room deodorant dispensing units and deodorising apparatus for dispensing scents in motor vehicles, which serve the purpose of emitting odour-eliminating preparations, typically fragranced. Although these goods are not complementary and have different specific purposes and methods of use, there is a relevant connection between them on the market of air fragrancing and freshening products. These goods are of interest to the same consumers and are commonly sold in the same specialised shops and sections of supermarkets or department stores. Furthermore, the public can expect that they are produced under the control of the same undertaking. Therefore, perfumes, as a broad category, and air deodorising apparatus are found similar to a low degree.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
30,Edible ices,1,30,Custard,,"['5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[5, 6, 7]"
3,Face powder,1,3,Dentifrices,,"['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
18,Harness for animals,1,18,Nose bags [feed bags],,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
25,Boots for sports,1,28,Appliances for gymnastics,"The general category of clothing, footwear and headgear includes sports clothing, footwear and headgear, which are garments or items of apparel designed specifically to be used when performing an activity or sport. Although the nature of these goods is different from those of sporting and gymnastic articles, which are articles and apparatus for all types of sports and gymnastics, such as weights, halters, tennis rackets, balls and fitness apparatus, there are undertakings that manufacture both sporting and gymnastic articles as well as sports clothing/sports footwear. Therefore, the distribution channels can be the same. There is a low degree of similarity when sports clothing/sports footwear is compared with sporting and gymnastic articles.","['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
22,Tents,1,22,Ropes,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public']","[4, 6, 7]"
22,Tents,1,22,String,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public']","[4, 6, 7]"
18,Nose bags [feed bags],1,18,Harnesses,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
3,Hair lotions,1,3,Shower creams,,"['6. Distribution channels', '7. Relevant public']","[6, 7]"
3,Hair lotions,1,5,Medicinal hair growth preparations,"Hair lotions in Class 3 include hair growth lotions. These, therefore, coincide in purpose with medicinal hair growth preparations in Class 5. The goods are commonly found in the same distribution channels, such as pharmacies and hygienic products sections in supermarkets and target the same public.","['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
3,Hair lotions,1,5,Dietetic substances adapted for medical use,"Hair lotions in Class 3 include lotions for hair growth, repair and strengthening. These, therefore, coincide in purpose with dietetic substances and vitamin preparations for hair care in Class 5. The goods are commonly found in the same distribution channels, such as pharmacies and drug stores and target the same public.","['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
3,Hair lotions,1,5,Vitamin preparations,"Hair lotions in Class 3 include lotions for hair growth, repair and strengthening. These, therefore, coincide in purpose with dietetic substances and vitamin preparations for hair care in Class 5. The goods are commonly found in the same distribution channels, such as pharmacies and drug stores and target the same public.","['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
30,Puddings,1,30,Edible ices,,"['5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[5, 6, 7]"
35,Business appraisals,1,35,Clerical services,,"['7. Relevant public', '8. Producer / Provider']","[7, 8]"
35,Business management,1,35,Transcription of communications [office functions],"Paragraph 49: ""Nevertheless, as the Board of Appeal rightly noted, firstly, ‘business management’ services and ‘office functions’, which imply, typically, in particular, the renting and running of office equipment, and photocopying, secretarial and typing duties, can be offered by the same specialised suppliers, secondly, those services are aimed at the same consumers, namely, professional business customers and, thirdly, they contribute to the same purpose, namely, the proper running and success of an undertaking.""","['2. Purpose', '7. Relevant public', '8. Producer / Provider']","[2, 7, 8]"
35,Business management,1,35,Telephone answering for unavailable subscribers,"The contested services must be considered as office function services. Therefore, they should be considred similar to a low degree, See T-58/16, para 49 (business services vs office functions): ""49 Nevertheless, as the Board of Appeal rightly noted, firstly, ‘business management’ services and ‘office functions’, which imply, typically, in particular, the renting and running of office equipment, and photocopying, secretarial and typing duties, can be offered by the same specialised suppliers, secondly, those services are aimed at the same consumers, namely, professional business customers and, thirdly, they contribute to the same purpose, namely, the proper running and success of an undertaking.""","['2. Purpose', '7. Relevant public', '8. Producer / Provider']","[2, 7, 8]"
35,Business management,1,35,Secretarial services,,"['7. Relevant public', '8. Producer / Provider']","[7, 8]"
35,Business management,1,35,Computerized file management,,"['7. Relevant public', '8. Producer / Provider']","[7, 8]"
35,Business management,1,35,Advertising,"Advertising essentially consist of providing others with assistance in the sale of their goods and services by promoting their launch and/or sale, or of reinforcing the client’s position in the market and acquiring competitive advantage through publicity. In order to fulfil this target, many different means and products might be used. These services are provided by specialised companies which study their client’s needs and provide all the necessary information and advice for the marketing of their products and services, and create a personalised strategy regarding the advertising of their goods and services through newspapers, web sites, videos, the internet, etc. These services are similar to a low degree to business management assistance, as they have the same purpose, namely to facilitate running a successful business. They may also have the same providers and relevant public.","['2. Purpose', '7. Relevant public', '8. Producer / Provider']","[2, 7, 8]"
35,Business management,1,35,Typing,,"['7. Relevant public', '8. Producer / Provider']","[7, 8]"
35,Business management,1,35,Employment agency services,,"['2. Purpose', '7. Relevant public', '8. Producer / Provider']","[2, 7, 8]"
35,Business management,1,35,Negotiation and conclusion of commercial transactions for third parties,,"['2. Purpose', '7. Relevant public', '8. Producer / Provider']","[2, 7, 8]"
35,Business management,1,35,Preparation of documents relating to taxation,,"['2. Purpose', '7. Relevant public', '8. Producer / Provider']","[2, 7, 8]"
35,Business management,1,35,Office functions services,"On the one hand, office functions are intended to provide active help with the internal day-to-day operations of other undertakings that contract such services, including the administration and support services in the ‘back office’. On the other hand, business management services, provided by consultants, involve activities associated with running a company, such as controlling, leading, monitoring, organising and planning, and include assistance in efficient allocation of financial resources and improving productivity to help with the strategy of the commercial undertaking. These services can be offered by the same specialised suppliers and they are aimed at the same consumers, namely, professional business customers. They also contribute to the same purpose, namely, the proper running and success of an undertaking.","['2. Purpose', '7. Relevant public', '8. Producer / Provider']","[2, 7, 8]"
35,Business management,1,35,Photocopying services,,"['7. Relevant public', '8. Producer / Provider']","[7, 8]"
24,Curtains made of textile fabrics,1,24,Textiles made of synthetic materials,.,"['1. Nature', '6. Distribution channels', '7. Relevant public']","[1, 6, 7]"
9,Spectacles,1,9,Spectacle chains,,"['4. Complementary goods / services', '6. Distribution channels', '7. Relevant public']","[4, 6, 7]"
5,Preparations for destroying vermin,1,5,Pharmaceutical preparations,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels']","[2, 4, 6]"
5,Preparations for destroying vermin,1,44,Horticulture,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public']","[2, 4, 6, 7]"
5,Preparations for destroying vermin,1,44,Forestry services,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public']","[2, 4, 6, 7]"
5,Preparations for destroying vermin,1,5,Dietetic substances adapted for medical use,"Dietetic substances include anti-parasite supplements. Some vermin destroying preparations (e.g. pediculicidal shampoos) are used on humans or animals in order to prevent the risks to human or animal health by destroying insects/parasites. To that extent the goods in comparison coincide in their purpose and they satisfy the needs of the same public. They could be found in the same channels of distribution, such as pharmacies and drug stores.","['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
5,Preparations for destroying vermin,1,44,Agriculture services,,"['2. Purpose', '4. Complementary goods / services', '6. Distribution channels', '7. Relevant public']","[2, 4, 6, 7]"
5,Preparations for destroying vermin,1,5,Veterinary preparations,"The goods of the earlier right can include products for animals. Additonally, ""veterinary preparations"" are treated the same way as ""pharmaceutical preparations"". This is supported by T-169/14.","['2. Purpose', '4. Complementary goods / services', '6. Distribution channels']","[2, 4, 6]"
3,"Adhesives for false eyelashes, hair and nails",1,3,Cosmetics,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
35,Negotiation of business contracts for others,1,35,Business management,"Negotiation and settlement of contracts is more of a business intermediary service: a third party puts sellers and buyers of something in contact, negotiates between them and gets commission for such service. Both services also are aimed at supporting or helping other businesses to do business or to improve their businesses.  To that extent such services may have the same purpose. Companies providing business management service may also provide such services as negotiations of business contracts for third parties. Finally, both services target the same professional public. Consequently, these services are considered lowly similar.","['2. Purpose', '7. Relevant public', '8. Producer / Provider']","[2, 7, 8]"
35,Online retail services relating to clothing,1,35,Provision of an online marketplace for buyers and sellers of goods and services,"Operating an on-line marketplace entails the provision of an e-commerce platform where the seller can display and offer its goods for sale to the buyer, without the platform operator being necessarily concerned about what is being sold, the price etc. Therefore, this is a passive service enabling the seller to price and put on display whichever goods it chooses to offer for sale, and just to pay a fee for the use of the space. Retail and wholesale services are more active, as the service provider will be positively engaged in the promotion of the sale of the specific goods brought together for the customer. Specified retail (or wholesale) services and the provision of online marketplaces show a certain degree of similarity as the relevant public may be the same, whether this is as a prospective buyer or seller, and the purpose of the services, broadly speaking, may be the same, namely to facilitate the sale of goods of others.","['2. Purpose', '7. Relevant public']","[2, 7]"
35,Online retail services relating to toys,1,35,Provision of an online marketplace for buyers and sellers of goods and services,"Operating an on-line marketplace entails the provision of an e-commerce platform where the seller can display and offer its goods for sale to the buyer, without the platform operator being necessarily concerned about what is being sold, the price etc. Therefore, this is a passive service enabling the seller to price and put on display whichever goods it chooses to offer for sale, and just to pay a fee for the use of the space. Retail and wholesale services are more active, as the service provider will be positively engaged in the promotion of the sale of the specific goods brought together for the customer. Specified retail (or wholesale) services and the provision of online marketplaces show a certain degree of similarity as the relevant public may be the same, whether this is as a prospective buyer or seller, and the purpose of the services, broadly speaking, may be the same, namely to facilitate the sale of goods of others.","['2. Purpose', '7. Relevant public']","[2, 7]"
35,Mail order retail services for clothing,1,35,Provision of an online marketplace for buyers and sellers of goods and services,"Operating an on-line marketplace entails the provision of an e-commerce platform where the seller can display and offer its goods for sale to the buyer, without the platform operator being necessarily concerned about what is being sold, the price etc. Therefore, this is a passive service enabling the seller to price and put on display whichever goods it chooses to offer for sale, and just to pay a fee for the use of the space. Retail and wholesale services are more active, as the service provider will be positively engaged in the promotion of the sale of the specific goods brought together for the customer. Specified retail (or wholesale) services and the provision of online marketplaces show a certain degree of similarity as the relevant public may be the same, whether this is as a prospective buyer or seller, and the purpose of the services, broadly speaking, may be the same, namely to facilitate the sale of goods of others.","['2. Purpose', '7. Relevant public']","[2, 7]"
35,Business management of retail outlets,1,35,Advertising,"On the one hand, advertising essentially consists of providing others with assistance in the sale of their goods and services by promoting their launch and/or sale, or of reinforcing the client’s position in the market and acquiring competitive advantage through publicity. On the other hand, business management of retail or wholesale outlets consists of the services of managing business for others. Since advertising amounts to a tool in business management, in that it increases the exposure of the undertaking on the market, these services have the same purpose, namely to facilitate running a successful business. Professionals who offer advice regarding how to manage a retail or wholesale business may include, in their advice, advertising strategies, so that the relevant public may believe that these services have the same professional origin.","['2. Purpose', '7. Relevant public', '8. Producer / Provider']","[2, 7, 8]"
35,Business management of retail outlets,1,35,Office functions services,"On the one hand, office functions are intended to provide active help with the internal day-to-day operations of other undertakings that contract such services, including the administration and support services in the ‘back office’. They include activities typical of secretarial services, such as shorthand and typing, compilation of information in computer databases, invoicing, and administrative processing of purchase orders. On the other hand, business management of retail or wholesale outlets consists of the services of managing business for others. These services can be offered by the same specialised suppliers and they are aimed at the same consumers, namely, professional business customers. They also contribute to the same purpose, namely, the proper running and success of an undertaking.","['2. Purpose', '7. Relevant public', '8. Producer / Provider']","[2, 7, 8]"
35,Retail services relating to sporting goods,1,35,Provision of an online marketplace for buyers and sellers of goods and services,"Operating an on-line marketplace entails the provision of an e-commerce platform where the seller can display and offer its goods for sale to the buyer, without the platform operator being necessarily concerned about what is being sold, the price etc. Therefore, this is a passive service enabling the seller to price and put on display whichever goods it chooses to offer for sale, and just to pay a fee for the use of the space. Retail and wholesale services are more active, as the service provider will be positively engaged in the promotion of the sale of the specific goods brought together for the customer. Specified retail (or wholesale) services and the provision of online marketplaces show a certain degree of similarity as the relevant public may be the same, whether this is as a prospective buyer or seller, and the purpose of the services, broadly speaking, may be the same, namely to facilitate the sale of goods of others.","['2. Purpose', '7. Relevant public']","[2, 7]"
35,Retail services in relation to toys,1,35,Provision of an online marketplace for buyers and sellers of goods and services,"Operating an on-line marketplace entails the provision of an e-commerce platform where the seller can display and offer its goods for sale to the buyer, without the platform operator being necessarily concerned about what is being sold, the price etc. Therefore, this is a passive service enabling the seller to price and put on display whichever goods it chooses to offer for sale, and just to pay a fee for the use of the space. Retail and wholesale services are more active, as the service provider will be positively engaged in the promotion of the sale of the specific goods brought together for the customer. Specified retail (or wholesale) services and the provision of online marketplaces show a certain degree of similarity as the relevant public may be the same, whether this is as a prospective buyer or seller, and the purpose of the services, broadly speaking, may be the same, namely to facilitate the sale of goods of others.","['2. Purpose', '7. Relevant public']","[2, 7]"
35,Retail services in relation to clothing,1,35,Provision of an online marketplace for buyers and sellers of goods and services,"Operating an on-line marketplace entails the provision of an e-commerce platform where the seller can display and offer its goods for sale to the buyer, without the platform operator being necessarily concerned about what is being sold, the price etc. Therefore, this is a passive service enabling the seller to price and put on display whichever goods it chooses to offer for sale, and just to pay a fee for the use of the space. Retail and wholesale services are more active, as the service provider will be positively engaged in the promotion of the sale of the specific goods brought together for the customer. Specified retail (or wholesale) services and the provision of online marketplaces show a certain degree of similarity as the relevant public may be the same, whether this is as a prospective buyer or seller, and the purpose of the services, broadly speaking, may be the same, namely to facilitate the sale of goods of others.","['2. Purpose', '7. Relevant public']","[2, 7]"
35,Retail services in relation to clothing,1,25,Headgear,"There is a low degree of similarity between the retail services concerning specific goods and other specific highly similar or similar goods, because of the close connection between them on the market from the perspective of the consumer. Consumers are accustomed to the practice that a variety of highly similar or similar goods are brought together and offered for sale in the same specialised shops or in the same sections of department stores or supermarkets. Clothing and headgear belong to the same market sector, and it is customary practice to offer these goods together, because they are of interest to the same consumer.","['6. Distribution channels', '7. Relevant public']","[6, 7]"
35,Retail services in relation to clothing,1,25,Footwear,"There is a low degree of similarity between the retail services concerning specific goods and other specific highly similar or similar goods, because of the close connection between them on the market from the perspective of the consumer. Consumers are accustomed to the practice that a variety of highly similar or similar goods are brought together and offered for sale in the same specialised shops or in the same sections of department stores or supermarkets. Clothing and footwear belong to the same market sector, and it is customary practice to offer these goods together, because they are of interest to the same consumer.","['6. Distribution channels', '7. Relevant public']","[6, 7]"
30,Preparations made from cereals,1,30,Crème brûlée,Preparations made from cereals which include various bakery goods such as biscuits and grain-based snack food. The goods under comparison coincide in relevant public and distribution channels. Furthermore they are in competition.,"['5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[5, 6, 7]"
30,Preparations made from cereals,1,30,Sago,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
30,Preparations made from cereals,1,30,Noodle-based prepared meals,Preparations made from cereals are essentially anything that can be made from processed cereals.,"['5. Goods / services in competition', '6. Distribution channels', '7. Relevant public']","[5, 6, 7]"
30,Preparations made from cereals,1,30,Tapioca,,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
26,Pins,1,26,Ostrich feathers [clothing accessories],,"['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
26,Pins,1,26,Feathers [clothing accessories],,"['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
26,Pins,1,26,"Beads, other than for making jewellery",,"['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
26,Pins,1,26,Birds' feathers [clothing accessories],,"['2. Purpose', '6. Distribution channels', '7. Relevant public']","[2, 6, 7]"
9,Apparatus and instruments for conducting electricity,1,9,Checking (supervision) apparatus and instruments,Apparatus and instruments for conducting electricity are to a certain extent similar to electricity checking equipment.,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
9,Apparatus and instruments for conducting electricity,1,9,Measuring apparatus and instruments,Apparatus and instruments for conducting electricity are to a certain extent similar to electricity measurement equipment.,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
9,Apparatus and instruments for regulating electricity,1,9,Checking (supervision) apparatus and instruments,Apparatus and instruments for regulating electricity are to a certain extent similar to electricity checking equipment.,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
9,Apparatus and instruments for regulating electricity,1,9,Measuring apparatus and instruments,Apparatus and instruments for regulating electricity are to a certain extent similar to electricity measurement equipment.,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
9,Apparatus and instruments for transforming electricity,1,9,Checking (supervision) apparatus and instruments,Apparatus and instruments for transforming electricity are to a certain extent similar to electricity checking equipment.,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
9,Apparatus and instruments for transforming electricity,1,9,Measuring apparatus and instruments,Apparatus and instruments for transforming electricity are to a certain extent similar to electricity measurement equipment.,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
9,Apparatus and instruments for switching electricity,1,9,Checking (supervision) apparatus and instruments,Apparatus and instruments for switching electricity are to a certain extent similar to electricity checking equipment.,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
9,Apparatus and instruments for switching electricity,1,9,Measuring apparatus and instruments,Apparatus and instruments for switching electricity are to a certain extent similar to electricity measurement equipment.,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
9,Apparatus and instruments for accumulating electricity,1,9,Checking (supervision) apparatus and instruments,Apparatus and instruments for accumulating electricity are to a certain extent similar to electricity checking equipment.,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
9,Apparatus and instruments for accumulating electricity,1,9,Measuring apparatus and instruments,Apparatus and instruments for accumulating electricity are to a certain extent similar to electricity measurement equipment.,"['6. Distribution channels', '7. Relevant public', '8. Producer / Provider']","[6, 7, 8]"
1,"Chemicals used in agriculture, horticulture and forestry",1,5,Fungicides,"Some chemicals used in agriculture, horticulture and forestry can be considered to already share the inherent purpose with fungicides - to kill or inhibit fungi or fungal spores, in particular when they consist of the fungicide’s active ingredient. Furthermore, the same (agro-) chemical companies may produce the semi-processed goods as well as the final product (08/10/2013, R 1631/2012 1, QUALY / QUALIDATE, § 27-28).","['2. Purpose', '8. Producer / Provider']","[2, 8]"
24,"Textile goods, and substitutes for textile goods",1,24,Fabrics for textile use,,"['1. Nature', '6. Distribution channels', '7. Relevant public']","[1, 6, 7]"
24,"Textile goods, and substitutes for textile goods",1,24,Fabrics,,"['1. Nature', '6. Distribution channels', '7. Relevant public']","[1, 6, 7]"
24,"Textile goods, and substitutes for textile goods",1,24,Silk [cloth],,"['1. Nature', '6. Distribution channels']","[1, 6]"
24,"Textile goods, and substitutes for textile goods",1,24,Rayon fabric,,"['1. Nature', '6. Distribution channels', '7. Relevant public']","[1, 6, 7]"
24,"Textile goods, and substitutes for textile goods",1,24,Ramie fabric,,['1. Nature'],[1]
24,"Textile goods, and substitutes for textile goods",1,24,Plastic material [substitute for fabrics],.,"['1. Nature', '6. Distribution channels', '7. Relevant public']","[1, 6, 7]"
24,"Textile goods, and substitutes for textile goods",1,24,Cotton fabrics,,"['1. Nature', '6. Distribution channels', '7. Relevant public']","[1, 6, 7]"
24,"Textile goods, and substitutes for textile goods",1,24,Fabric imitating animal skins,,"['1. Nature', '6. Distribution channels', '7. Relevant public']","[1, 6, 7]"
